player,position,age,team_id,g,mp_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,pts_per_g
Steven Adams,C,26,OKC,63,26.7,9.3,2.3,0.8,1.1,10.9
Bam Adebayo,PF,22,MIA,72,33.6,10.2,5.1,1.1,1.3,15.9
LaMarcus Aldridge,C,34,SAS,53,33.1,7.4,2.4,0.7,1.6,18.9
Kyle Alexander,C,23,MIA,2,6.5,1.5,0.0,0.0,0.0,1.0
Nickeil Alexander-Walker,SG,21,NOP,47,12.6,1.8,1.9,0.4,0.2,5.7
Grayson Allen,SG,24,MEM,38,18.9,2.2,1.4,0.3,0.1,8.7
Jarrett Allen,C,21,BRK,70,26.5,9.6,1.6,0.6,1.3,11.1
Kadeem Allen,PG,27,NYK,10,11.7,0.9,2.1,0.5,0.2,5.0
Al-Farouq Aminu,PF,29,ORL,18,21.1,4.8,1.2,1.0,0.4,4.3
Justin Anderson,SG,26,BRK,10,10.7,2.1,0.8,0.0,0.6,2.8
Kyle Anderson,SF,26,MEM,67,19.9,4.3,2.4,0.8,0.6,5.8
Ryan Anderson,C,31,HOU,2,7.0,3.5,1.0,0.5,0.0,2.5
Giannis Antetokounmpo,PF,25,MIL,63,30.4,13.6,5.6,1.0,1.0,29.5
Kostas Antetokounmpo,PF,22,LAL,5,4.0,0.6,0.4,0.0,0.0,1.4
Thanasis Antetokounmpo,SF,27,MIL,20,6.5,1.2,0.8,0.4,0.1,2.8
Carmelo Anthony,PF,35,POR,58,32.8,6.3,1.5,0.8,0.5,15.4
OG Anunoby,SF,22,TOR,69,29.9,5.3,1.6,1.4,0.7,10.6
Ryan Arcidiacono,PG,25,CHI,58,16.0,1.9,1.7,0.5,0.1,4.5
Trevor Ariza,SF,34,TOT,53,28.2,4.6,1.7,1.3,0.3,8.0
D.J. Augustin,PG,32,ORL,57,24.9,2.1,4.6,0.6,0.0,10.5
Deandre Ayton,C,21,PHO,38,32.5,11.5,1.9,0.7,1.5,18.2
Dwayne Bacon,SG,24,CHO,39,17.6,2.6,1.3,0.6,0.1,5.7
Marvin Bagley III,C,20,SAC,13,25.7,7.5,0.8,0.5,0.9,14.2
Lonzo Ball,PG,22,NOP,63,32.1,6.1,7.0,1.4,0.6,11.8
Mo Bamba,C,21,ORL,62,14.2,4.9,0.7,0.4,1.4,5.4
J.J. Barea,PG,35,DAL,29,15.5,1.8,3.9,0.2,0.1,7.7
Harrison Barnes,PF,27,SAC,72,34.5,4.9,2.2,0.6,0.2,14.5
RJ Barrett,SG,19,NYK,56,30.4,5.0,2.6,1.0,0.3,14.3
Will Barton,SF,29,DEN,58,33.0,6.3,3.7,1.1,0.5,15.1
Keita Bates-Diop,PF-SF,24,TOT,44,16.9,2.9,0.7,0.4,0.5,6.5
Nicolas Batum,SF,31,CHO,22,23.0,4.5,3.0,0.8,0.4,3.6
Aron Baynes,C,33,PHO,42,22.2,5.6,1.6,0.2,0.5,11.5
Kent Bazemore,SF,30,TOT,68,24.8,4.3,1.4,1.1,0.6,8.8
Darius Bazley,PF,19,OKC,61,18.5,4.0,0.7,0.4,0.7,5.6
Bradley Beal,SG,26,WAS,57,36.0,4.2,6.1,1.2,0.4,30.5
Malik Beasley,SG,23,TOT,55,22.0,2.7,1.4,0.7,0.1,11.2
Marco Belinelli,SG,33,SAS,57,15.5,1.7,1.2,0.2,0.0,6.3
Jordan Bell,C,25,TOT,29,8.8,2.8,0.6,0.1,0.3,3.2
DeAndre' Bembry,SG,25,ATL,43,21.3,3.5,1.9,1.3,0.4,5.8
Dragan Bender,PF-C,22,TOT,16,17.9,4.6,1.8,0.3,0.6,6.7
Dāvis Bertāns,PF,27,WAS,54,29.3,4.5,1.7,0.7,0.6,15.4
Patrick Beverley,PG,31,LAC,51,26.3,5.2,3.6,1.1,0.5,7.9
Khem Birch,C,27,ORL,48,19.2,4.6,1.0,0.4,0.5,4.4
Goga Bitadze,C,20,IND,54,8.7,2.0,0.4,0.2,0.7,3.2
Bismack Biyombo,C,27,CHO,53,19.4,5.8,0.9,0.2,0.9,7.4
Nemanja Bjelica,PF,31,SAC,72,27.9,6.4,2.8,0.9,0.6,11.5
Eric Bledsoe,PG,30,MIL,61,27.0,4.6,5.4,0.9,0.4,14.9
Bogdan Bogdanović,SG,27,SAC,61,29.0,3.4,3.4,1.0,0.2,15.1
Bojan Bogdanović,SF,30,UTA,63,33.1,4.1,2.1,0.5,0.1,20.2
Bol Bol,PF,20,DEN,7,12.4,2.7,0.9,0.3,0.9,5.7
Jonah Bolden,C,24,TOT,7,6.7,1.3,0.0,0.4,0.3,1.4
Marques Bolden,C,21,CLE,1,3.0,2.0,0.0,1.0,0.0,0.0
Jordan Bone,PG,22,DET,10,5.3,0.4,0.8,0.1,0.0,1.2
Isaac Bonga,SF,20,WAS,66,18.9,3.4,1.2,0.7,0.3,5.0
Devin Booker,SG,23,PHO,70,35.9,4.2,6.5,0.7,0.3,26.6
Chris Boucher,C,27,TOR,62,13.2,4.5,0.4,0.4,1.0,6.6
Brian Bowen,SF,21,IND,6,5.2,1.2,0.0,0.0,0.2,1.0
Ky Bowman,PG,22,GSW,45,22.6,2.7,2.9,1.0,0.2,7.4
Avery Bradley,SG,29,LAL,49,24.2,2.3,1.3,0.9,0.1,8.6
Tony Bradley,C,22,UTA,58,11.4,4.6,0.4,0.2,0.6,4.9
Jarrell Brantley,PF,23,UTA,9,10.7,2.2,1.2,0.3,0.6,2.7
Ignas Brazdeikis,SF,21,NYK,9,5.9,0.6,0.4,0.0,0.1,1.9
Corey Brewer,PF,33,SAC,5,6.6,1.6,0.4,0.8,0.0,1.0
Mikal Bridges,SF,23,PHO,73,28.0,4.0,1.8,1.4,0.6,9.1
Miles Bridges,SF,21,CHO,65,30.7,5.6,1.8,0.6,0.7,13.0
Oshae Brissett,SF,21,TOR,19,7.1,1.4,0.4,0.2,0.1,1.9
Ryan Broekhoff,SF,29,DAL,17,10.6,2.5,0.6,0.3,0.2,4.2
Malcolm Brogdon,PG,27,IND,54,30.9,4.9,7.1,0.6,0.2,16.5
Dillon Brooks,SG,24,MEM,73,28.9,3.3,2.1,0.9,0.4,16.2
Bruce Brown,PG,23,DET,58,28.2,4.7,4.0,1.1,0.5,8.9
Charlie Brown,SG,22,ATL,10,4.0,0.4,0.2,0.2,0.2,2.0
Jaylen Brown,SG,23,BOS,57,33.9,6.4,2.1,1.1,0.4,20.3
Moses Brown,C,20,POR,9,3.7,1.6,0.1,0.1,0.1,1.2
Sterling Brown,SF,24,MIL,52,14.8,3.5,1.0,0.6,0.1,5.1
Troy Brown Jr.,SF,20,WAS,69,25.8,5.6,2.6,1.2,0.1,10.4
Jalen Brunson,PG,23,DAL,57,17.9,2.4,3.3,0.4,0.1,8.2
Thomas Bryant,C,22,WAS,46,24.9,7.2,1.8,0.5,1.1,13.2
Reggie Bullock,SG,28,NYK,29,23.6,2.3,1.4,0.9,0.1,8.1
Trey Burke,PG,27,TOT,33,15.8,1.5,2.5,0.5,0.1,7.4
Alec Burks,SF-SG,28,TOT,66,26.6,4.3,2.9,0.9,0.3,15.0
Deonte Burton,SF,26,OKC,39,9.1,1.5,0.4,0.2,0.3,2.7
Jimmy Butler,SF,30,MIA,58,33.8,6.7,6.0,1.8,0.6,19.9
Bruno Caboclo,C,24,TOT,30,8.1,2.0,0.4,0.5,0.6,3.0
Devontae Cacok,C,23,LAL,1,9.0,5.0,1.0,0.0,0.0,6.0
Kentavious Caldwell-Pope,SG,26,LAL,69,25.5,2.1,1.6,0.8,0.2,9.3
Vlatko Čančar,PF,22,DEN,14,3.2,0.7,0.2,0.1,0.1,1.2
Clint Capela,C,25,HOU,39,32.8,13.8,1.2,0.8,1.8,13.9
DeMarre Carroll,SF-C,33,TOT,24,12.1,2.3,1.0,0.3,0.2,3.6
Jevon Carter,PG,24,PHO,58,16.3,2.0,1.4,0.8,0.3,4.9
Vince Carter,PF,43,ATL,60,14.6,2.1,0.8,0.4,0.4,5.0
Wendell Carter Jr.,C,20,CHI,43,29.2,9.4,1.2,0.8,0.8,11.3
Michael Carter-Williams,SG,28,ORL,45,18.5,3.3,2.4,1.1,0.5,7.2
Alex Caruso,PG,25,LAL,64,18.4,1.9,1.9,1.1,0.3,5.5
Willie Cauley-Stein,C,26,TOT,54,20.3,5.8,1.3,0.9,1.1,7.2
Tyson Chandler,C,37,HOU,26,8.4,2.5,0.2,0.2,0.3,1.3
Wilson Chandler,PF,32,BRK,35,21.0,4.1,1.1,0.5,0.3,5.9
Joe Chealey,PG,24,CHO,4,8.3,0.0,0.3,1.0,0.0,0.5
Zylan Cheatham,PF,24,NOP,4,12.8,2.3,0.8,0.3,0.3,3.0
Chris Chiozza,PG,24,TOT,28,14.3,1.9,3.0,0.8,0.1,5.1
Marquese Chriss,PF,22,GSW,59,20.3,6.2,1.9,0.7,1.1,9.3
Gary Clark,SF-PF,25,TOT,42,13.5,2.6,0.4,0.1,0.5,3.7
Brandon Clarke,PF,23,MEM,58,22.4,5.9,1.4,0.6,0.8,12.1
Jordan Clarkson,SG,27,TOT,71,24.0,2.6,1.9,0.6,0.2,15.2
Nicolas Claxton,C,20,BRK,15,12.5,2.9,1.1,0.1,0.5,4.4
Chris Clemons,SG,22,HOU,33,8.8,0.9,0.8,0.3,0.2,4.9
Antonius Cleveland,SG,25,DAL,11,4.2,0.6,0.1,0.1,0.3,1.0
Amir Coffey,SG,22,LAC,18,8.8,0.9,0.8,0.3,0.1,3.2
John Collins,PF,22,ATL,41,33.2,10.1,1.5,0.8,1.6,21.6
Zach Collins,PF,22,POR,11,26.4,6.3,1.5,0.5,0.5,7.0
Mike Conley,PG,32,UTA,47,29.0,3.2,4.4,0.8,0.1,14.4
Pat Connaughton,SG,27,MIL,67,18.6,4.2,1.6,0.4,0.5,5.4
Quinn Cook,PG,26,LAL,44,11.5,1.2,1.1,0.3,0.0,5.1
Tyler Cook,PF-SF,22,TOT,13,4.2,1.1,0.1,0.2,0.0,1.8
Robert Covington,PF-C,29,TOT,70,30.5,6.6,1.3,1.6,1.3,12.4
Allen Crabbe,SG-SF,27,TOT,37,17.6,2.1,0.9,0.4,0.1,4.6
Torrey Craig,SF,29,DEN,58,18.5,3.3,0.8,0.4,0.6,5.4
Jamal Crawford,SG,39,BRK,1,6.0,0.0,3.0,0.0,0.0,5.0
Jae Crowder,SF-PF,29,TOT,65,28.8,5.9,2.5,1.1,0.4,10.5
Jarrett Culver,SG,20,MIN,63,23.9,3.4,1.7,0.9,0.6,9.2
Seth Curry,SG,29,DAL,64,24.6,2.3,1.9,0.6,0.1,12.4
Stephen Curry,PG,31,GSW,5,27.8,5.2,6.6,1.0,0.4,20.8
Troy Daniels,SG,28,TOT,47,11.3,1.1,0.4,0.2,0.1,4.3
Anthony Davis,PF,26,LAL,62,34.4,9.3,3.2,1.5,2.3,26.1
Ed Davis,C,30,UTA,28,10.8,3.8,0.4,0.4,0.3,1.8
Terence Davis,SG,22,TOR,72,16.8,3.3,1.6,0.5,0.2,7.5
Dewayne Dedmon,C,30,TOT,44,17.6,5.7,0.5,0.6,0.9,5.8
Matthew Dellavedova,PG,29,CLE,57,14.4,1.3,3.2,0.4,0.0,3.1
DeMar DeRozan,SF,30,SAS,68,34.1,5.5,5.6,1.0,0.3,22.1
Cheick Diallo,C,23,PHO,47,10.2,2.8,0.5,0.2,0.3,4.7
Hamidou Diallo,SF,21,OKC,46,19.5,3.6,0.8,0.8,0.2,6.9
Gorgui Dieng,C,30,TOT,63,17.4,5.6,1.2,0.8,0.9,7.4
Spencer Dinwiddie,PG,26,BRK,64,31.2,3.5,6.8,0.6,0.3,20.6
Donte DiVincenzo,SG,23,MIL,66,23.0,4.8,2.3,1.3,0.3,9.2
Luka Dončić,PG,20,DAL,61,33.6,9.4,8.8,1.0,0.2,28.8
Luguentz Dort,SF,20,OKC,36,22.8,2.3,0.8,0.9,0.1,6.8
Damyean Dotson,SG,25,NYK,48,17.4,1.9,1.2,0.5,0.1,6.7
Sekou Doumbouya,PF,19,DET,38,19.8,3.1,0.5,0.5,0.2,6.4
PJ Dozier,SG,23,DEN,29,14.2,1.9,2.2,0.5,0.2,5.8
Goran Dragić,PG,33,MIA,59,28.2,3.2,5.1,0.7,0.2,16.2
Andre Drummond,C,26,TOT,57,33.0,15.2,2.7,1.9,1.6,17.7
Jared Dudley,PF,34,LAL,45,8.1,1.2,0.6,0.3,0.1,1.5
Kris Dunn,PG,25,CHI,51,24.9,3.6,3.4,2.0,0.3,7.3
Carsen Edwards,SG,21,BOS,37,9.5,1.3,0.6,0.3,0.1,3.3
Henry Ellenson,C,23,BRK,5,3.0,1.2,0.2,0.0,0.0,0.4
Wayne Ellington,SG,32,NYK,36,15.5,1.8,1.2,0.4,0.1,5.1
Joel Embiid,C,25,PHI,51,29.5,11.6,3.0,0.9,1.3,23.0
James Ennis,SF-SG,29,TOT,69,18.3,3.6,0.9,0.5,0.3,6.6
Drew Eubanks,C,22,SAS,22,12.4,3.9,0.7,0.2,0.8,4.9
Jacob Evans,SG,22,TOT,29,14.4,1.4,1.1,0.4,0.4,4.4
Dante Exum,SG,24,TOT,35,13.9,1.9,1.1,0.4,0.2,4.5
Tacko Fall,C,24,BOS,7,4.7,2.1,0.1,0.1,0.6,3.3
Derrick Favors,C,28,NOP,51,24.4,9.8,1.6,0.6,0.9,9.0
Cristiano Felício,C,27,CHI,22,17.5,4.6,0.7,0.5,0.1,3.9
Terrance Ferguson,SF,21,OKC,56,22.4,1.3,0.9,0.5,0.3,3.9
Bruno Fernando,C,21,ATL,56,12.7,3.5,0.9,0.3,0.3,4.3
Yogi Ferrell,PG,26,SAC,50,10.6,1.0,1.4,0.4,0.1,4.4
Dorian Finney-Smith,PF,26,DAL,71,29.9,5.7,1.6,0.6,0.5,9.5
Bryn Forbes,SG,26,SAS,63,25.1,2.0,1.7,0.5,0.0,11.2
Evan Fournier,SF,27,ORL,66,31.5,2.6,3.2,1.1,0.2,18.5
De'Aaron Fox,PG,22,SAC,51,32.0,3.8,6.8,1.5,0.5,21.1
Melvin Frazier,SG,23,ORL,19,6.6,0.5,0.2,0.5,0.1,2.1
Michael Frazier,SG,25,HOU,13,11.2,0.8,0.2,0.2,0.0,2.1
Tim Frazier,PG,29,DET,27,13.1,1.2,3.4,0.5,0.1,3.6
Markelle Fultz,PG,21,ORL,72,27.7,3.3,5.1,1.3,0.2,12.1
Wenyen Gabriel,PF,22,TOT,30,7.8,1.7,0.3,0.4,0.2,2.1
Daniel Gafford,C,21,CHI,43,14.2,2.5,0.5,0.3,1.3,5.1
Danilo Gallinari,PF,31,OKC,62,29.6,5.2,1.9,0.7,0.1,18.7
Langston Galloway,SG,28,DET,66,25.8,2.3,1.5,0.7,0.2,10.3
Darius Garland,SG,20,CLE,59,30.9,1.9,3.9,0.7,0.1,12.3
Marc Gasol,C,35,TOR,44,26.4,6.3,3.3,0.8,0.9,7.5
Rudy Gay,PF,33,SAS,67,21.8,5.4,1.7,0.5,0.5,10.8
Paul George,SF,29,LAC,48,29.6,5.7,3.9,1.4,0.4,21.5
Taj Gibson,C,34,NYK,62,16.5,4.3,0.8,0.4,0.5,6.1
Harry Giles,C,21,SAC,46,14.5,4.1,1.3,0.5,0.4,6.9
Shai Gilgeous-Alexander,SG,21,OKC,70,34.7,5.9,3.3,1.1,0.7,19.0
Rudy Gobert,C,27,UTA,68,34.3,13.5,1.5,0.8,2.0,15.1
Brandon Goodwin,PG,24,ATL,34,12.6,2.1,1.5,0.4,0.1,6.1
Aaron Gordon,PF,24,ORL,62,32.5,7.7,3.7,0.8,0.6,14.4
Eric Gordon,SF,31,HOU,36,28.2,2.0,1.5,0.6,0.4,14.4
Devonte' Graham,PG,24,CHO,63,35.1,3.4,7.5,1.0,0.2,18.2
Treveon Graham,SF,26,TOT,55,16.9,2.7,0.8,0.4,0.1,4.4
Jerami Grant,PF,25,DEN,71,26.6,3.5,1.2,0.7,0.8,12.0
Jerian Grant,SG,27,WAS,6,13.3,1.0,1.5,0.2,0.2,4.5
Josh Gray,PG,26,NOP,2,11.5,1.0,1.0,0.0,0.0,1.0
Danny Green,SG,32,LAL,68,24.8,3.3,1.3,1.3,0.5,8.0
Draymond Green,PF,29,GSW,43,28.4,6.2,6.2,1.4,0.8,8.0
JaMychal Green,PF,29,LAC,63,20.7,6.2,0.8,0.5,0.4,6.8
Javonte Green,SG,26,BOS,48,9.8,1.9,0.5,0.5,0.2,3.4
Jeff Green,PF-C,33,TOT,48,20.0,2.8,1.0,0.5,0.4,9.4
Blake Griffin,PF,30,DET,18,28.4,4.7,3.3,0.4,0.4,15.5
Marko Guduric,SG,24,MEM,44,11.0,1.7,1.0,0.3,0.2,3.9
Kyle Guy,SG,22,SAC,3,3.3,0.3,0.3,0.0,0.0,1.3
Rui Hachimura,PF,21,WAS,48,30.1,6.1,1.8,0.8,0.2,13.5
Devon Hall,PG,24,OKC,11,7.4,0.6,1.2,0.4,0.1,1.8
Donta Hall,C-PF,22,TOT,9,14.8,4.2,0.4,0.3,0.7,4.3
Dusty Hannahs,SG,26,MEM,2,6.5,0.5,0.0,0.0,0.0,6.0
Tim Hardaway Jr.,SG,27,DAL,71,29.5,3.3,1.9,0.6,0.1,15.8
James Harden,SG,30,HOU,68,36.5,6.6,7.5,1.8,0.9,34.3
Maurice Harkless,PF-SF,26,TOT,62,23.0,3.9,1.1,0.9,0.5,5.8
Jared Harper,PG,22,PHO,3,2.7,0.0,0.0,0.0,0.0,0.7
Montrezl Harrell,C,26,LAC,63,27.8,7.1,1.7,0.6,1.1,18.6
Gary Harris,SG,25,DEN,56,31.8,2.9,2.1,1.4,0.3,10.4
Joe Harris,SF,28,BRK,69,30.8,4.3,2.1,0.6,0.2,14.5
Tobias Harris,PF,27,PHI,72,34.3,6.9,3.2,0.7,0.6,19.6
Shaquille Harrison,SG,26,CHI,43,11.3,2.0,1.1,0.8,0.4,4.9
Josh Hart,SF,24,NOP,65,27.0,6.5,1.7,1.0,0.4,10.1
Isaiah Hartenstein,C,21,HOU,23,11.6,3.9,0.8,0.4,0.5,4.7
Udonis Haslem,C,39,MIA,4,11.0,4.0,0.3,0.0,0.0,3.0
Jaxson Hayes,C,19,NOP,64,16.9,4.0,0.9,0.4,0.9,7.4
Gordon Hayward,SF,29,BOS,52,33.5,6.7,4.1,0.7,0.4,17.5
John Henson,C,29,TOT,40,15.0,4.1,1.4,0.6,1.1,5.5
Dewan Hernandez,C,23,TOR,6,4.7,2.3,0.5,0.2,0.0,2.3
Juan Hernangómez,PF,24,TOT,48,17.4,4.1,0.8,0.4,0.2,6.0
Willy Hernangómez,C,25,CHO,31,12.1,4.3,0.9,0.3,0.2,6.1
Tyler Herro,SG,20,MIA,55,27.4,4.1,2.2,0.6,0.2,13.5
Kevin Hervey,PF,23,OKC,10,5.2,1.2,0.5,0.1,0.1,1.7
Mario Hezonja,PF,24,POR,53,16.4,3.5,0.9,0.7,0.2,4.8
Buddy Hield,SG,27,SAC,72,30.8,4.6,3.0,0.9,0.2,19.2
George Hill,PG,33,MIL,59,21.5,3.0,3.1,0.8,0.1,9.4
Solomon Hill,PF,28,TOT,59,18.4,2.8,1.8,0.7,0.2,5.5
Jaylen Hoard,PF,20,POR,13,7.9,2.5,0.3,0.4,0.0,2.9
Aaron Holiday,PG,23,IND,66,24.5,2.4,3.4,0.8,0.2,9.5
Jrue Holiday,SG,29,NOP,61,34.7,4.8,6.7,1.6,0.8,19.1
Justin Holiday,SF,30,IND,73,25.0,3.3,1.3,1.2,0.6,8.3
Rondae Hollis-Jefferson,PF,25,TOR,60,18.7,4.7,1.8,0.8,0.4,7.0
Richaun Holmes,C,26,SAC,44,28.2,8.1,1.0,0.9,1.3,12.3
Rodney Hood,SF,27,POR,21,29.5,3.4,1.5,0.8,0.2,11.0
Al Horford,C,33,PHI,67,30.2,6.8,4.0,0.8,0.9,11.9
Talen Horton-Tucker,SG,19,LAL,6,13.5,1.2,1.0,1.3,0.2,5.7
Danuel House,SF,26,HOU,63,30.4,4.2,1.3,1.1,0.5,10.5
Dwight Howard,C,34,LAL,69,18.9,7.3,0.7,0.4,1.1,7.5
William Howard,PF,26,HOU,2,6.5,1.0,0.5,0.0,0.0,0.0
Kevin Huerter,SG,21,ATL,56,31.4,4.1,3.8,0.9,0.5,12.2
De'Andre Hunter,SF,22,ATL,63,32.0,4.5,1.8,0.7,0.3,12.3
Chandler Hutchison,SF,23,CHI,28,18.8,3.9,0.9,1.0,0.3,7.8
Serge Ibaka,C,30,TOR,55,27.0,8.2,1.4,0.5,0.8,15.4
Andre Iguodala,SF,36,MIA,21,19.9,3.7,2.4,0.7,1.0,4.6
Ersan İlyasova,PF,32,MIL,63,15.7,4.8,0.8,0.4,0.3,6.6
Joe Ingles,PF,32,UTA,72,29.7,3.9,5.2,0.9,0.2,9.8
Brandon Ingram,PF,22,NOP,62,33.9,6.1,4.2,1.0,0.6,23.8
Kyrie Irving,PG,27,BRK,20,32.9,5.2,6.4,1.4,0.5,27.4
Jonathan Isaac,PF,22,ORL,34,28.8,6.8,1.4,1.6,2.3,11.9
Wesley Iwundu,SF,25,ORL,52,18.3,2.5,1.2,0.5,0.3,5.8
Frank Jackson,PG,21,NOP,59,13.5,1.4,1.0,0.3,0.1,6.3
Jaren Jackson Jr.,C,20,MEM,57,28.5,4.6,1.4,0.7,1.6,17.4
Josh Jackson,SF,22,MEM,22,17.3,3.0,1.6,0.8,0.4,9.0
Justin Jackson,PF,24,DAL,65,16.1,2.4,0.8,0.2,0.2,5.5
Reggie Jackson,SG-PG,29,TOT,31,24.0,3.0,4.1,0.4,0.2,11.9
Justin James,SF,23,SAC,36,6.4,0.9,0.5,0.2,0.3,2.5
LeBron James,PG,35,LAL,67,34.6,7.8,10.2,1.2,0.5,25.3
Amile Jefferson,PF,26,ORL,18,4.1,1.3,0.2,0.1,0.2,0.8
DaQuan Jeffries,SG,22,SAC,13,10.8,1.4,0.5,0.3,0.1,3.8
Ty Jerome,SG,22,PHO,31,10.6,1.5,1.4,0.5,0.1,3.3
Alize Johnson,PF,23,IND,17,6.9,2.8,0.4,0.2,0.1,2.0
B.J. Johnson,SF,24,ORL,10,8.3,1.5,0.3,0.3,0.0,3.0
Cameron Johnson,PF,23,PHO,57,22.0,3.3,1.2,0.6,0.4,8.8
James Johnson,PF-C,32,TOT,32,19.3,3.7,2.3,0.8,1.0,8.4
Keldon Johnson,SF,20,SAS,17,17.7,3.4,0.9,0.8,0.1,9.1
Stanley Johnson,PF,23,TOR,25,6.0,1.5,0.8,0.2,0.2,2.4
Tyler Johnson,PG-SG,27,TOT,39,18.2,1.9,1.9,0.4,0.2,7.0
Nikola Jokić,C,24,DEN,73,32.0,9.7,7.0,1.2,0.6,19.9
Damian Jones,C,24,ATL,55,16.1,3.7,0.6,0.5,0.7,5.6
